ECO Term Label,ECO term ID,ECO term ID to be mapped by CollecTF,ECO term label to be mapped by CollecTF,"Cross-product ECO codes to be created (M - manual assertion, A - Automatic assertion, MA - manual and automatic assertion)",Cross-product ECO code to be used by CollecTF (retroactive assignment),CollecTF experimental technique,CollecTF-provided definition (rough),Preset Function (CollecTF major heading),Sub-category under major heading,ECO term ID,Suggested Term: ECO term label,New Definition ,Dbxrefs,Synonyms,Synonym xref,Comments,Comments xref,Notes
interferometric reflectance imaging sensor evidence,"ECO:0005520
",ECO:0005645,interferometric reflectance imaging sensor evidence used in manual assertion,MA,M,Interferometric Reflectance Imaging Sensor,"Interferometric Reflectance Imaging Sensor (IRIS) is based on detecting changes in surface-reflected light due o the binding of ligands to biomolecules attached to the surface of a semi-transparent substrate. Differences in the optical path lengths between a surface layer and a buried silica layers can be measured very precisely, which allows optical height information to be converted to accumulated mass (density) on the surface. For the purpose of TF-binding site identification, IRIS is coupled with DNA-array technology. DNA arrays with immobilized potential binding regions are exposed to the protein of interest, which is then eluted. Protein-bound fragments exhibit changes in reflectance that can be used to gauge binding quantitatively.",Binding,"Array methods
Substrate immobilization","ECO:0005520
",interferometric reflectance imaging sensor evidence,"A type of molecule detection assay evidence based on changes in surface-reflected light due to ligand binding on the surface of a semi-transparent substrate to detect proteins, DNA, and other biological material in a multiplexed, high-throughput microarray format without labels.","PMID: 24271115
PMID:21587155","IRIS
Spectral Reflectance Imaging Biosensor
SRIB
",,"Differences in the optical path lengths between a surface layer and a buried silica layers can be measured very precisely allowing optical height information to be converted to accumulated mass on the surface. For the purpose of TF-binding site identification, IRIS is coupled with DNA-arrays with immobilized potential binding regions exposed to the protein of interest and eluted. Protein-bound fragments exhibit changes in reflectance that can be used to gauge binding quantitatively.",,"ISB-SIB node
Possible similarity to ECO:0001123 (resonant mirror biosensor evidence) on the ISB-SIB node.
"
isothermal titration calorimetry evidence,ECO:0001825,ECO:0005647,isothermal titration calorimetry evidence used in manual assertion,M,M,Isothermal titration calorimetry,"This technique is used to determine precise thermodynamic parameters such as the binding affinity of proteins and DNA. The temperature of two identical cells containing a known concentration of TF is monitored. The ligand (DNA) with a putative site or not is added to the cells in precisely measured aliquots. The difference in temperature observed after adding the ligand, because in one cell it binds to the target while in the other it does not, can be used to compute the energetics of the reaction and therefore the binding affinity of the TF for the DNA fragment.",Binding,"In-vitro techniques
Proteomic assay",ECO:0000023 (is_a),affinity evidence,A type of affinity evidence where the absorbed or released heat of a biomolecular binding event is directly measured in a reference cell and sample cell after the addition of a ligand using a microcalorimeter for a complete thermodynamic profile of the molecular interaction.,"PMID:10527727
http://www.malvern.com/en/products/technology/isothermal-titration-calorimetry/
http://bcmp.med.harvard.edu/sites/bcmp.med.harvard.edu/files/facilities/ITC200%20training_pdf.pdf",ITC,PMID: 10527727,"When ITC is used to study TF, the temperature of two identical cells containing a known concentration of TF is monitored. After the ligand is added to the cells in precisely measured aliquots, the temperature difference in each cell is observed to determine target binding. This value can be used to compute the energetics of the reaction and hence, binding affinity of the TF for the DNA fragment. The thermodynamic profile that is measured includes the values of binding constant (K(a)), stoichiometry (n), and the enthalpy of binding (DeltaH(b)).",,"Defined by BAO as ""ITC is a thermodynamic technique that can directly measure the heat released or absorbed during a biomolecular binding event. It can measure the binding affinity (Ka), reaction stoichiometry (n), enthalpy (∆H) and entropy (ΔS) of the interaction between two or more molecules in solution."""
luciferase reporter gene assay evidence,ECO:0001805,ECO:0005648,luciferase reporter gene assay evidence used in manual assertion,M,M,Luciferase reporter assay,"In-silico motif prediction
In-silico site prediction",Expression,"Gene fussion assay
In-vivo techniques",ECO:0001805,reporter gene assay evidence,"A type of reporter gene assay evidence where luciferase, an oxidative enzyme, is used as the reporter to detect a gene product with bioluminescence.",PMID: 17623934,,,,,
machine learning prediction of motif instance evidence,ECO:0005535,ECO:0005649,machine learning prediction of motif instance evidence used in manual assertion,MA,M,Machine learning prediction,"Machine learning methods can be used to predict TF-binding sites, often using additional sequence-derived information (e.g. predicted DNA curvature), partitioning classical PSSMs into submotifs or computing correlations among site positions. These methods can yield improved predictions, but their efficiency must be properly assessed.",In-silico,In-silico site prediction,ECO:0005535,,A type of match to sequence model evidence which captures the application of a broad suite of supervised and unsupervised machine learning algorithms trained on known motif instances and applied to the prediction of novel putative instances of a motif in a set of biological sequences.,"PMID: 2014171
PMID: 17117497",,,"Machine learning algorithms include, but are not limited to artificial neural networks, random-forest, k-means clustering, hidden Markov models. This suite of methods can be used to identify or verify transcription factor-binding sites in genomic sequences (PMID: 15703297)",PMID: 15703297,
matrix-assisted laser desorption/ionization time-of-flight mass spectrometry evidence,ECO:0005526,ECO:0005527,matrix-assisted laser desorption/ionization time-of-flight mass spectrometry evidence used in manual assertion,MA,M,MALDI-TOF Mass Spectrometry,MALDI-TOF mass spectrometry is used to determine the mass of larger compounds such as proteins. It is a frequently used method of establishing protein identity when constructing a proteome.,Expression,"In-vivo techniques
Proteomic assay","ECO:0005526
ECO:0005517 (is_a)","Matrix-assisted laser desorption/ionization time-of-flight mass spectrometry
protein detection assay evidence
","A type of protein detection assay evidence where soft ionization is used for the analysis of biomolecules for mass determination in a three step process of plate preparation, radiation, and ionization with high throughput technology.","PMID: 25354905
PMID: 21964792",Matrix-assisted laser desorption/ionization time-of-flight,PMID: 25354905,MALDI-TOF MS is commonly used for protein identification in constructing a proteome where protein fingerprints obtained by microbial cells are compared with a database of reference spectra by means of various algorithms integrated in systems recently made commercially available.,,"https://masspec.scripps.edu/publications/public_pdf/64_art.pdf
"
multiple sequence alignment evidence used in manual assertion,"ECO:0000028 (is_a)
ECO:0000200 (secondary child) --> should become ""manual assertion based on MSA evidence""",ECO:0005556,multiple sequence alignment evidence used in manual assertion,M,M,Manual motif instance prediction based on multiple sequence alignment,,,,"ECO:0000028 (is_a)
ECO:0000200 (secondary child)","motif similarity evidence
sequence alignment evidence",A type of motif similarity evidence where a multiple sequence alignment containing known reference sequences and one or more target sequences is visually inspected to identify an instance of a conserved sequence motif in target sequences.,PMID: 18586823,,,"A common application is to identify a transcription factor (TF)-binding site for a sequence under study, when there is reason to believe that the sequence likely presents an instance of previously identified TF-binding motifs. The technique also allows authors to assess the conservation of nearby sequence elements that may be important in making the call (e.g. co-factors) (PMID: 18586823). ",(PMID: 18586823),"Link to (ECO:0000034) non-traceable author statement or (ECO:0000033) traceable author statement or, generically, (ECO:0000204) author statement. "
methidiumpropyl-ethylenediaminetetraacetic acid iron (II) footprinting evidence,ECO:0001814,ECO:0005652,methidiumpropyl-ethylenediaminetetraacetic acid iron (II) footprinting evidence used in manual assertion,M,M,"Methidiumpropyl-ethylenediaminetetraacetic acid iron (II) footprinting evidence
","This is a footprinting technique very similar to DNAse footprinting, which a synthetic molecule, methidium-propyl-EDTA (MPE), as the cleaving agent. MPE.Fe (II) footprinting appears more accurate than DNAse footprinting in determining the actual size and location of the binding sites for small molecules on DNA, especially in cases where several small molecules are closely spaced on the DNA.",Binding,"In-vivo techniques
Nucleic acid protection assay",,nucleic acid binding evidence,"A type of footprinting technique that employs the methidiumpropyl-EDTA (MPE) synthetic molecule as the cleaving agent on ligand-protected DNA restriction fragments to determine size and location of the binding sites for small molecules on DNA. Edited version: A type of nucleic acid binding evidence where the synthetic molecule methidiumpropyl-EDTA (MPE) is used to cleave ligand-protected DNA, followed by analysis of the restriction fragments to generate a footprint (i.e. size and location) of small molecule binding sites on the DNA.",PMID: 6225070,"MPE Fe(II) footprinting ; MPE-EDTA Fe(II) footprinting evidence ;
Methidiumpropyl-EDTA (MPE) Fe(II) footprinting",PMID: 6225070,,,
motif discovery evidence,ECO:0005531,ECO:0005558,motif discovery evidence used in manual assertion,MA,M,Motif-discovery,"In motif discovery, we are given a set of sequences that we suspect harbor binding sites for a given transcription factor. A typical scenario is data coming from expression experiments, in which we wish to analyze the promoter region of a bunch of genes that are up- or down-regulated under some condition. The goal of motif discovery is to detect the transcription factor binding motif (i.e. the sequence “pattern” bound by the TF), by assuming that it will be overrepresented in our sample of sequences. There are different strategies to accomplish this, but the standard approach uses expectation maximization (EM) and in particular Gibbs sampling or greedy search. Popular algorithms for motif discovery are MEME, Gibbs Motif Sampler or CONSENSUS. More recently, motif discovery algorithms that make use of phylogenetic foot-printing (the idea that TF-binding site will be conserved in the promoter sequences for the same gene in different species) have become available. These are not usually applied to complement experimental work, but can be used to provide a starting point for it. Popular algorithms include FootPrinter and PhyloGibbs.",In-silico,In-silico motif prediction,ECO:0005531,Motif discovery evidence is_a sequence alignment evidence,A type of sequence alignment evidence based on a set of algorithms that inferr over-represented motifs from a set of biological sequences returning one or more local multiple sequence alignment defining the inferred motifs.,"PMID: 8211139 
PMID: 10812473 
PMID: 16845028",,,"Relationship type between sequences (e.g. orthologs from multiple genomes or co-expressed genes in the same genome) is not necessarily assumed. The local multiple sequence alignment is typcally ungapped. A common application of motif discovery is to infer the binding motif of a given transcription factor (TF). This can be based on the results of a whole-genome expression analysis, assuming that co-expressed genes are co-regulated by the same TF (PMID: 19892760), from peaks in ChIP-seq experiments with the TF (PMID: 16264194), or from the comparative genomics analysis of the promoter regions of orthologs (PMID: 23032607).","PMID: 19892760
PMID: 16264194
PMID: 23032607",
Manual motif inference based on multiple sequence alignment,"ECO:0000200 (is_a)  --> should become ""manual assertion based on MSA evidence""",ECO:0005556,multiple sequence alignment evidence used in manual assertion,M,M,Multiple sequence alignment (MSA),MSA can be used to align promoter regions and highlight regions of conservation that may be indicative of transcription factor binding sites.,In-silico,In-silico motif prediction,ECO:0000200 (is_a),sequence alignment evidence,A type of sequence similarity evidence where a multiple sequence alignment is visually inspected to identify a conserved sequence motif.,"PMID: 8451183
PMID: 25986903",Multiple sequence alignment,,A common application of manual motif inference based on multiple sequence alignment is to define a transcription factor (TF)-binding motif when there is reason to believe it is close to or shares some features with previously identified TF-binding motifs (PMID: 25986903; PMID: 18329386; PMID: 17640279),"PMID: 25986903 
PMID: 18329386
PMID: 17640279","The current label in the ontology is ""sequence alignment evidence"". MSA can be added as a synonym or the label can be changed and sequence alignment evidence can be added as a synonym (suggestion)."
northern assay evidence,ECO:0000106,ECO:0005653,northern assay evidence used in manual assertion,M,M,Northern blot,The northern blot is a technique used in molecular biology research to study gene expression by detection of RNA (or isolated mRNA) in a sample. Northern blotting involves the use of electrophoresis to separate RNA samples by size and detection with a hybridization probe complementary to part of or the entire target sequence.,Expression,Gel electrophoresis assay,ECO:0000106,Northern assay evidence,A type of transcript expression level evidence based on electrophoresis and probing to determine levels of RNA expression using a complementary hybridization probe on the separated RNA samples.,,Northern blot evidence,,,,
phylogenetic footprinting evidence,ECO:0005533,ECO:0005654,phylogenetic footprinting evidence used in manual assertion,MA,M,Phylogenetic footprinting,Motif discovery algorithms that make use of phylogenetic foot-printing (the idea that TF-binding site will be conserved in the promoter sequences for the same gene in different species).,In-silico,In-silico motif prediction,ECO:0005533,phylogenetic footprinting evidence,"A type of motif discovery evidence based on a set of algorithms that infer motifs in non-coding DNA sequences from the conservation of functional regulatory sites through evolution at a higher rate than their local surroundings for the identification of an evolutionary 'footprint'. 
","PMID: 16477324
PMID: 3199442",,,"The name derives to experimental footprinting techniques where transcription factor (TF)-binding sites are identified by sequencing the region of DNA protected from biochemical agents by the bound TF. This technique is used to identify or verify transcription factor-binding motifs, most commonly in the Eukaryota (PMID: 11997340).",PMID: 11997340,PMID: 22113593
premethylation interference footprinting evidence,ECO:0001827,ECO:0005656,premethylation interference footprinting evidence used in manual assertion,M,M,Premethylation interference footprinting,A variation of DNAse footprinting in which certain residues are methylated to evidence their role in binding. Similar to site-directed mutagenesis in its ability to designate specific residues as being essential for binding.,Binding,"Gel electrophoresis assay
In-vitro techniques
Nucleic acid protection assay",ECO:0000136,nucleic acid binding evidence,"A type of *interference footprinting based on the premethylation of DNA with dimethyl sulfate (DMS) to identify specific residues as essential for binding. Edited: A type of nucleic acid binding evidence used to identify protein binding sites on the DNA molecule where multiple copies of a DNA fragment containing a putative TF-binding site are randomly methylated with dimethyl sulfate (DMS) and cleaved at the methyl group, followed by separating the cleavage products on a denaturing electrophoresis gel.","PMID: 1583685
http://www.jbc.org/content/279/39/41058.full",Methylation interference footprinting,http://www.jbc.org/content/279/39/41058.full,,,Literature directing to ethylation interfenece footprinting.
primer extension assay evidence,ECO:0001819,ECO:0005657,primer extension assay evidence used in manual assertion,M,M,Primer Extension assay,"Primer Extension Assay is a simple method of assessing expression levels. The total RNA produced by the culture is isolated. A short synthetic oligonucleotide primer (complementary to a short sequence on the target RNA) is radiolabelled (usually with 32P) and the primer anneals to the RNA. Reverse transcriptase then extends the RNA producing cDNA. The cDNA is analyzed on a polyacrylamide gel. The amount of cDNA in a band on the gel is proportional to the amount of initial RNA, thus providing expression levels of RNA from the culture.",Expression,"Gel electrophoresis assay
In-vivo techniques
PCR-based techniques
Reverse transcription methods
",ECO:0000048 (is_a),transcript expression level evidence,"A type of *reverse transcription assay used to experimentally determine expression levels of RNA through the identification of the transcription start site for a gene by the 5' end of the encoded messenger RNA (mRNA) where a radiolabelled synthetic oligonucleotide primer is annealed to RNA for extension with reverse transcriptase producing cDNA which is further studied for expression levels. Edited: A type of transcript expression level evidence used to determine expression levels of mRNA where a radiolabelled synthetic oligonucleotide primer is annealed to mRNA at the transcription start site of a gene and the mRNA is extended with reverse transcriptase producing cDNA which is electrophoresed on a polyacrylamide gel and autoradiographed, and the band size is proportional to the initial RNA.",PMID: 23378648,,,"[The cDNA produced in the primer extension assay is analyzed on a polyacrylamide gel where the amount of cDNA in a band on the gel is proportional to the amount of initial RNA, thus providing expression levels of RNA from the culture.] 
Edited: The most commonly used radiolabel is 32P.",,
position-specific scoring matrix motif search evidence,ECO:0005536,ECO:0005659,position-specific scoring matrix motif search evidence used in automatic assertion,MA,A,PSSM site search,"Once the binding motif for a TF is known, this motif (which essentially defines a pattern) can be used to scan sequences in order to search for putative TF-binding site. This is useful, for instance, when trying to identify TF-binding site in ChIP-chip data. Searching for TF-binding site can be done in numerous ways. The most basic method is consensus search, in sequences are scored according to how many mismatches they have with the consensus sequence for the motif. A more elaborate way of searching involves using regular expressions, which allow to search for more loosely defined motifs [e.g. C(C/G)AT]. Common algorithms for this type of search include Pattern Locator and the DNA Pattern Find method of the SMS2 suite, but also some word processors. Finally, the mainstream way of conducting TF-binding site search is through the use of position-specific scoring matrices, which basically count the occurrences of each base at each position of the motif and use the inferred frequencies to score candidate sites. Algorithms in this last category include TFSEARCH, FITOM, CONSITE, TESS and MatInspector.",In-silico,In-silico site prediction,ECO:0005536,position-specific scoring matrix motif search evidence,"A type of motif similarity evidence where sequence patterns of experimentally determined TF binding sites are summarized using a known transcription factor binding motif by calculating occurances of each base at each position of the motif to score candidate sites. NEW (?): A type of motif similarity evidence where the motif is represented by a position-specific frequency matrix (PSFM) that specifies the frequency of each base at each position of the motif, from which a position-specific scoring matrix (PSSM) can be derived under the framework of a log-likelihood ratio providing a scoring system based on the likelihood of a sequence given the motif, versus a genomic-frequency based null hypothesis.",PMID: 10812473,"PSSM (narrow)
PSSM motif search (exact)",PMID: 15604457,"Algorithms for PSSM  include TFSEARCH, FITOM, CONSITE, TESS, and MatInspector. NEW: This technique is used to predict transcription factor binding sites in gene promoter regions by using a position weight matrix approach. (PMID: 15604457).",,Is this used for anything else or just TF?
quantitative polymerase chain reaction evidence,ECO:0000231,ECO:0005660,quantitative polymerase chain reaction evidence used in manual assertion,M,M,qPCR [quantitative real-time],"Quantitative PCR (or quantitative real time polymerase chain reaction) is a modification of the conventional PCR reaction used to amplify and simultaneously quantify a targeted DNA molecule. In its more standard incarnation, a inactive fluorescent dye is added to the PCR mix. This dye is activated upon binding double-stranded DNA; as the PCR iterates, there is more and more dsDNA and therefore more fluorescence intensity.",Expression,PCR-based techniques,ECO:0000231,quantitative polymerase chain reaction evidence,A type of polymerase chain reaction evidence where the reaction product is quantified in real-time across cycles by means of fluorescent dyes for detection and quantification of specific sequences in a DNA sample.,,"qRT-PCR (related)
qPCR (exact)",,"Quantitative PCR enables both detection and quantification (as absolute number of copies or relative amount when normalized to DNA input or additional normalizing genes) of one or more specific sequences in a DNA sample. The dye is activated upon binding double-stranded DNA.
Although qRT-PCR is commonly found in literature synonomous to qPCR, it is preferable not to use this synonym as it the accepted abbreviation for reverse transcription PCR. qPCR should be used instead. (ISBN 978-0-470-68386-6 page 173)
",,
reverse transcription polymerase chain reaction evidence,ECO:0000109,ECO:0001808,reverse transcription polymerase chain reaction evidence used in manual assertion,M,M,qRT-PCR [RNA],"Quantitative Reverse-Transcription PCR is a modification of PCR in which RNA is first reverse transcribed into cDNA and this is amplified measuring the product (qPCR) in real time. It therefore allows one to analyze transcription by directly measuring the product (RNA) of a gene's transcription. If the gene is transcribed more, the starting product for PCR is larger and the corresponding volume of amplification is also larger.",Expression,"In-vivo techniques
PCR-based techniques
Reverse transcription methods","ECO:0000109
ECO:0000231 (uses)","reverse transcription polymerase chain reaction evidence
quantitative polymerase chain reaction evidence",A type of polymerase chain reaction evidence where RNA is reverse transcribed into cDNA and amplified for product measurement in real time for transcription analysis i.e. qPCR.,"PMID: 12901609
PMID: 11013345","RT-PCR (exact)
qRT-PCR (exact)",PMID: 12901609,"The starting product for PCR, and therefore amplification volume, is directly correlated to the transcription rate.",,ECO- clarify the difference between 108 and 109
rapid amplification of cDNA ends polymerase chain reaction evidence,ECO:0001820,ECO:0005661,rapid amplification of cDNA ends polymerase chain reaction evidence used in manual assertion,M,M,RACE PCR,"Rapid Amplification of cDNA Ends is a technique to obtain the full length sequence of an RNA transcript. Most succinctly, the technique exploits the fact that PCR will stop at the ends of a mRNA. Basically, a primer mapping a ""center"" region of the mRNA is used to perform RT-PCR and terminal deoxynucleotidyl transferase (TdT) is used to add identical nucleotides to the 3' end of the cDNA. Standard PCR using another primer and the TdT-oligomer is performed in the other sense. The technique is frequently used to verify transcription start sites, which are relevant to the function (e.g. repression) of transcription factor binding sites.",Expression,PCR-based techniques,ECO:0000082 (is_a),polymerase chain reaction evidence,"A type of polymerase chain reaction evidence used to obtain the full length sequence of a RNA transcript where a center-mapped mRNA primer is used in an RT-PCR, and terminal deoxynucleotidyl transferase (TdT) is used to add identical nucleotides to the 3' end of the cDNA after which PCR is performed again in the other sense. Edit: A type of polymerase chain reaction evidence used to obtain the full length sequence of a RNA transcript where a mRNA primer is used for RT-PCR and terminal deoxynucleotidyl transferase (TdT) is used to add identical nucleotides to the 3' end of the cDNA after which PCR with a different primer and TdT-oligomer are performed in the other sense.
",PMID: 17498297,RACE PCR,PMID: 17498297,RACE PCR is frequently used to verify transcription start sites relevant to the function of transcription factor binding sites such as repression.,,
random mutagenesis evidence,ECO:0005529,ECO:0005530,random mutagenesis evidence used in manual assertion,M,M,Random mutagenesis,"Non-targeted mutagenesis. Typically accomplished in vivo by means of radiation or a DNA-damaging agent, or in vitro using degenerate PCR. Not frequently used in TF-binding site determination. It is sometimes used to investigate the effect of mutations in transcription factor binding domains, in conjunction with expression assays.",Binding,Mutagenesis,"ECO:0005529
ECO:0000059 (is_a)","random mutagenesis evidence
experimental phenotypic evidence","A type of experimental phenotypic evidence where radiation or a DNA-damaging agent in vivo, or PCR with degenerate primers in vitro are used for non-targeted mutagenesis.","PMID:15153637
PMID: 18265275",,,"Random mutagenesis is not often used in TF-binding site determination; however, it is sometimes used to investigate the effect of mutations in TF binding domains in conjunction with expression assays. Random mutations can also be introduced via chemicals, error-prone PCR (EP-PCR), degenerate oligonucleotides-Pfu(DOP), UV irradiation, mutator strains, nucleotide analogs, or DNA recombination.",,"
https://www.idtdna.com/pages/docs/default-source/user-guides-and-protocols/mutagenesis-application-guide.pdf?sfvrsn=7

mutually exclusive to site-directed mutagenesis, but it can be cluster or point mutation and can be any type of mutation i.e. deletion, insertion etc."
regular expression motif search evidence,ECO:0005505,ECO:0005662,regular expression motif search evidence used in manual assertion,MA,M,Regular expression search,"Similar to a PSSM search, a regular expression search looks for patterns in DNA, by making use of ""degenerate"" symbols and parenthetic constructs. For instance, [ATA (N:4–6) STGTC] indicates a pattern of ATA followed by 4 to 6 variable characters (N) and a suffix starting with a ""strong"" (S=G or C) base and the sequence TGTC.",In-silico,In-silico site prediction,ECO:0005505,regular expression motif search evidence,"A type of motif similarity evidence where the motif, a local alignment of sequences, is represented by a regular expression, which captures the variability of nucleotides at each position in a discrete form and can then be used to search genetic sequences by identifying matches to the regular expression. 
",PMID: 17337630,,,Regular expression is a computational tool used for determining whether a given genome contains a DNA region resembling a transcription factor binding motif. For example A/T=W indicates A or T may be present in a column of the alignment. PMID: 20708667. ,PMID: 20708667,
RNA dot blot assay evidence,ECO:0001040,ECO:0001177,RNA dot blot assay evidence used in manual assertion,M,M,RNA dot blot,"A simplification of the Northern blot. The RNA is not first separated by electrophoresis. Instead, a mixture of RNA (e.g. a crude extract) is directly blotted onto a circular section of the matrix and hybridized with labeled DNA fragments.",Expression,"Gel electrophoresis assay
In-vitro techniques
Substrate immobilization",ECO:0001040,RNA dot blot assay evidence,A type of RNA detection assay evidence based on the direct application of a RNA mixture in a circular motion on a matrix for hybridization with labeled DNA fragments.  ,PMID:21424648,,,,,"ISB-SIB
http://link.springer.com/protocol/10.1385%2F0-89603-494-1%3A73
PMID:21424648
PMID: 18432675
http://www.nature.com/nprot/journal/v8/n11/box/nprot.2013.136_BX3.html"
RNA sequencing assay evidence,ECO:0001821,ECO:0005665,RNA sequencing assay evidence used in automatic assertion,MA,A,RNA-Seq,"In RNA-seq, RNA is extracted from the cell at a given time and reverse transcribed to obtain cDNA. This cDNA is then sequenced. This provides a snapshot of the ""transcriptome"" of an organism at a given time.",Expression,"In-vivo techniques
Reverse transcription methods
Sequencing-based methods",ECO:0000219 (is_a),nucleotide sequencing assay evidence,"A type of sequencing assay evidence based on deep-sequencing technology providing a snapshot of an organism's transcriptome with precise measurement of levels of transcripts and their isoforms where RNA is extracted from a cell and reverse transcribed to obtain cDNA for sequencing. Edited: A type of nucleotide sequencing assay evidence where RNA is extracted from a cell, reverse transcribed to cDNA, and sequenced for a snapshot of an organism's transcriptome with precise measurement of transcript levels and their isoforms.",PMID: 19015660,"Whole Transcriptome Shotgun Sequencing
RNA-Seq",PMID: 23851085,,,
RNA protection assay evidence,"ECO:0000110
",ECO:0000288,RNA protection assay evidence used in manual assertion,M,M,RNAse protection,"This is a technique used to detect typically mRNA with greater precision than Northern blot or RT-PCR. Therefore, it is commonly used to assess gene expression (specifically transcription). RNAse protection uses labelled RNA probes to bind desired targets. RNAses are then added to the mix and degrade all RNA that is not bound to probes. The remaining RNA is typically run on a gel to detect the size (and label) of the probe and determine which RNA it is.",Expression,"Gel electrophoresis assay
In-vivo techniques
Nucleic acid protection assay","ECO:0000110
","RNA protection assay evidence
muclease protection assay evidence","A type of nuclease protection assay evidence based on RNA probing used for transcription start-site localization where radiolabeled RNA probes are used to hybridize mRNA for the digestion of the unbound, nonresistant single-stranded overhang regions by RNAse and the resistant fragment size is determined with gel electrophoresis. Edited: A type of nuclease protection assay evidence used for transcription start-site localization where mRNA is hybridize with radiolabeled RNA probes after which RNAse is added to digest the unbound, nonresistant single-stranded overhang regions and the resistant fragment size and identity is determined with gel electrophoresis.",PMID: 23457339,ribonuclease protection assay,,,,
S1 nuclease protection assay evidence,ECO:0005521,ECO:0005666,S1 nuclease protection assay evidence used in manual assertion,M,M,S1 nuclease protection,"This is a technique used to detect typically mRNA with greater precision than Northern blot or RT-PCR. Therefore, it is commonly used to assess gene expression (specifically transcription), even though it is a protection experiment. In S1 nuclease protection, extracted RNA is hybridized with complementary DNA probes and expose to S1 nuclease to degrade all RNA that is not bound to probes. The remaining (non-degraded) RNA is typically run on a gel to detect the size (and label) of the probe and determine which RNA it is.",Expression,"Gel electrophoresis assay
In-vivo techniques
Nucleic acid protection assay",ECO:0005521,S1 nuclease protection assay evidence,A type of nuclease protection assay evidence where RNA is hybridized with complementary DNA probes and exposed to S1 nuclease for unbound RNA degradation after which the intact RNA is run on a gel for probe size determination and RNA identification to detect and map specific RNAs in a complex mixture of total cellular RNA. ,PMID: 21390683,,,"
",,"ISB-SIB

PMID: 18428580
http://www.thermofisher.com/us/en/home/references/ambion-tech-support/ribonuclease-protection-assays/general-articles/the-basics-what-is-a-nuclease-protection-assay.html
"
site-directed mutagenesis evidence,ECO:0005528,ECO:0005667,site-directed mutagenesis evidence used in manual assertion,M,M,Site directed mutagenesis,"Target-specific mutation, as opposed to non-specific mutation. In the context of TF-binding sites, site-directed mutagenesis is typically used to establish/confirm the specific sequence and location of a site, often in tandem with EMSA. Different positions of a putative binding site are mutated to non-consensus (or random) bases and binding to the mutated site is evaluated through EMSA or other means. Often implemented only in conserved motif positions or serially through all positions of a site.",Binding,"In-vitro techniques
In-vivo techniques
Mutagenesis","ECO:0005528
ECO:0000059 (is_a)","site-directed mutagenesis
experimental phenotypic evidence
","A type of experimental phenotypic evidence based on target-specified mutagenesis for the characterization of various gene and protein interactions, structures, and functions where oligonucleotide primers are used to alter a nucleotide sequence. ","PMID: 21204030
PMID: 24011050
PMID: 3541892",,,Site-directed mutagenesis is often performed in tandem with EMSA. It is often implemented only in conserved motif positions or serially through all positions of a site.,,"Checked with a few other sites: 
PMC2762917
http://www.nature.com/nbt/journal/v19/n8/full/nbt0801_773.html
https://www.neb.com/applications/cloning-and-synthetic-biology/site-directed-mutagenesis
http://kirschner.med.harvard.edu/files/protocols/Stratagene_quickchangepdf.pdf"
survival rate analysis evidence,ECO:0001822,ECO:0005668,survival rate analysis evidence used in manual assertion,M,M,Survival analysis,http://www.nature.com/articles/srep02347,Expression,"In-vivo techniques
Phenotype analysis",ECO:0001091 (is_a),knockout evidence,A type of knockout evidence based on the survival of an organism in a particular environment where a gene for an enzyme or regulator is knocked out and results are used as a natural reporter.,,,,,,"Does this refer to the survival of an organism?
Is a gene/gene product always knocked out, or is this an occasionaly occurence? Is it inherent in the term?"
ultraviolet light footprinting evidence,ECO:0001826,ECO:0005669,ultraviolet light footprinting evidence used in manual assertion,M,M,ultraviolet light footprinting,"While DNase is by far the most commonly used tool for fragmenting DNA, it is not the only one. DNA footprinting can also be performed using other methods that cause non-specific breaks in the DNA, such as hydroxyl radicals, or UV radiation. There is little difference between these alternate methods of DNA cleavage and the more common DNase-mediated procedure aside from variant resolving power (hydroxyl radicals have a higher resolution) and small procedural changes. The data looks very similar, and is analyzed the same way.",Binding,"In-vivo techniques
Nucleic acid protection assay",ECO:0000136,nucleic acid binding evidence,"A type of *footprinting based on the non-specific fragmentation of DNA where ultraviolet light is used as an in-vivo footprinting agent for DNA digestion to characterize protein-DNA interactions. Edited: A type of nucleic acid binding evidence where DNA is non-specifically fragmented with ultraviolet light while protein-bound regions are protected from UV damage and strand breakage patterns are analyzed by PAGE and sequenced to detect protein-DNA contacts.
","PMID: 2842760 
PMID: 7602584",UV footprinting ; ultraviolet footprinting,,,,"http://www.ncbi.nlm.nih.gov/pubmed/7602584
http://www.ncbi.nlm.nih.gov/pmc/articles/PMC281946/"
visual sequence inspection evidence,ECO:0001828,,,M,M,Visual sequence inspection,Visual inspection of promoter region to identify putative binding sites based on previous knowledge,In-silico,In-silico site prediction,ECO:0000306,inference from background scientific knowledge used in manual assertion,A type of inference from background scientific knowledge used in manual assertion based on the visual inspection of promoter region to identify putative binding sites.,,,,"
",,Is the specificity of promoter region necessary? Can this be a direct mapping to inferred from background scientific knowledge (used in manual assertion)?
